location,area,price,price_currency,status,new/resale,price_negotiable,description,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Car Parking,Vaastu Compliant,Golf Course,Intercom,Indoor Games,Maintenance Staff,Multipurpose Room,ATM,Cafeteria,Staff Quarter,Hospital,School,Shopping Mall
Hinjawadi Village,2770,19100000,INR,0.0,1,0,"It has a built-up area of 2770 sqft and is priced at Rs. 1.91 cr . The house is semi-furnished. It is an under-construction property . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",east,0,0,1,1,0,1,1,1,1,1,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karve Nagar,2100,47500000,INR,1.0,0,0,It’s a 3 bhk villa situated in Karve Nagar. It has an area of 2100 sqft . The property is available at a price of Rs. 4.75 cr . The house is semi-furnished. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ,east,0,0,0,1,0,1,1,1,1,1,0,0,9.0,8.095809131519243,208.05117974801576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIBM Annex Mohammadwadi,3000,28000000,INR,1.0,0,0,"Looking for a 4 BHK Villa for sale in Pune? Your search ends here. Buy this 4 BHK property in Pune's finest location, Mohammed Wadi. The built up area of this property is 3000 Square feet. There are 4 bedrooms and 4 bathroom. There are a number of reputed schools in the vicinity such as Vibgyor High School, Delhi Public School, and The Bishop's School. Medical facility is also close at hand with names like PBMA's H. V. Desai Eye Hospital, Ayodhya Trust Genl Hospital, and Ruby hall clinic",unknown,1,15,0,1,1,1,1,1,1,0,1,1,7.875185453783369,7.9,123.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed wadi,2800,20900000,INR,0.0,0,0,"It has a salable area of 2800 sqft and is available at a price of Rs. 7,464 per sqft. It is a furnished property. Its main door is facing east direction. It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",east,1,4,1,1,0,1,1,1,1,1,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magarpatta,2300,24000000,INR,0.0,0,0,"Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",east,0,6,0,1,0,0,0,0,0,0,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gahunje,3078,34000000,INR,0.0,0,0,"A spacious 4 bhk villa is available for sale in Lodha Group Lodha Belmondo, Gahunje, Pune. It has a built-up area of 3078 sqft and is priced at Rs. 3.40 cr . The house is semi-furnished. Its main door is facing east direction. This residential complex is under-construction as of now. . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",east,0,0,1,1,1,1,1,1,1,1,1,1,7.4,8.013236419092896,42.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Kharadi,2500,24500000,INR,0.0,0,0,"A spacious 3 bhk villa is available for sale in Gera Developments GreensVille, Kharadi, Pune. It has a salable area of 2500 sqft and is available at a price of Rs. 9,800 per sqft. It is a semi-furnished property. It has children's play area as well as swimming pool. The project also has gymnasium. It is west facing property. It is a 2 year old ready-to-move-in property. It is well connected to the city areas. Contact us for more details. ",west,0,1,1,1,1,1,1,1,1,1,1,0,8.9,7.7,52.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balewadi,2700,23510000,INR,1.0,0,0,"This spacious 4 bhk villa is available for sale and is located in the heart of Balewadi. It has a salable area of 2700 sqft and is available at a price of Rs. 8,707 per sqft. It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",east,1,0,0,1,0,1,0,0,0,1,0,0,8.8,8.084476924872515,203.62990571118823,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chikhali,1375,11200000,INR,0.0,0,0,"This spacious 2 bhk villa is available for sale and is located in the heart of Chikhali. It has a salable area of 1375 sqft and is available at a price of Rs. 8,145 per sqft. It is a semi-furnished property. It is facing west direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",west,0,0,0,0,0,0,0,0,0,0,0,0,8.0,8.03914809828561,185.94480956387795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kothrud,3100,32500000,INR,0.0,0,0,"A spacious 3 bhk villa is available for sale in Kothrud, Pune. It has a salable area of 3100 sqft and is available at a price of Rs. 10,483 per sqft. The house is furnished. Its main door is facing east direction. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ",east,1,0,0,0,0,0,0,0,0,0,0,0,9.2,8.107141338165968,212.4724537848433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
